"companyId","company","ticker","alias"
"1","Anheuser Busch","(null)","(null)"
"2","ABC","(null)","(null)"
"3","Washington Nationals","","Montreal Expos"
"4","American Airlines","(null)","(null)"
"5","American Express","",""
"6","AMG Sports","(null)","(null)"
"7","Anaheim Angels","(null)","(null)"
"8","Anaheim Sports","(null)","(null)"
"9","AND 1","(null)","(null)"
"10","Anschutz Properties","(null)","(null)"
"11","Time Warner","","AOL"
"12","Aramark","(null)","(null)"
"13","AFL","",""
"14","AHL","",""
"15","Arizona Cardinals","(null)","(null)"
"16","Arizona Diamondbacks","(null)","(null)"
"17","American Skiing Co.","(null)","(null)"
"18","Assante","(null)","(null)"
"19","AT&T","(null)","(null)"
"20","Atlanta Braves","(null)","(null)"
"21","Atlanta Falcons","(null)","(null)"
"22","Atlanta Hawks","(null)","(null)"
"23","Atlanta Thrashers","(null)","(null)"
"24","ATP","",""
"25","Baltimore Orioles","(null)","(null)"
"26","Baltimore Ravens","(null)","(null)"
"27","Bank of America","(null)","(null)"
"28","BBDO","(null)","(null)"
"29","Boston Bruins","(null)","(null)"
"30","Boston Celtics","(null)","(null)"
"31","Boston Red Sox","(null)","(null)"
"32","BSkyB","(null)","(null)"
"34","Buffalo Bills","(null)","(null)"
"35","Buffalo Sabres","(null)","(null)"
"37","Burger King","(null)","(null)"
"38","Cablevision","(null)","(null)"
"39","Calgary Flames","(null)","(null)"
"40","Callaway Golf","(null)","(null)"
"41","CFL","",""
"42","Carolina Hurricanes","(null)","(null)"
"43","Carolina Panthers","(null)","(null)"
"44","Champ Car World Series","","CART"
"46","CBS","(null)","(null)"
"47","CHL","",""
"49","New Orleans Hornets","",""
"50","Charlotte Sting","(null)","(null)"
"51","Chase Manhattan Bank","(null)","(null)"
"53","Chicago Bears","(null)","(null)"
"54","Chicago Blackhawks","(null)","(null)"
"55","Chicago Bulls","(null)","(null)"
"56","Chicago Cubs","(null)","(null)"
"57","Chicago Fire","(null)","(null)"
"58","Chicago White Sox","(null)","(null)"
"59","Churchill Downs Inc.","(null)","(null)"
"60","Cincinnati Bengals","",""
"61","Cincinnati Reds","",""
"62","Cleveland Browns","(null)","(null)"
"63","Cleveland Cavaliers","(null)","(null)"
"64","Cleveland Indians","(null)","(null)"
"65","Cleveland Rockers","(null)","(null)"
"66","CNN/SI","(null)","(null)"
"68","Coca-Cola","(null)","(null)"
"69","Collegiate Licensing Company","(null)","(null)"
"70","Colorado Avalanche","(null)","(null)"
"71","Colorado Rapids","(null)","(null)"
"72","Colorado Rockies","(null)","(null)"
"73","Columbus Blue Jackets","(null)","(null)"
"74","Columbus Crew","(null)","(null)"
"75","Comcast-Spectacor","(null)","(null)"
"76","Hewlett Packard","",""
"77","Continental Airlines","(null)","(null)"
"78","Converse","(null)","(null)"
"79","Coors Brewing","(null)","(null)"
"80","DC United","(null)","(null)"
"81","DaimlerChrysler","(null)","(null)"
"82","FC Dallas","","Dallas Burn"
"83","Dallas Cowboys","(null)","(null)"
"84","Dallas Mavericks","(null)","(null)"
"85","Dallas Stars","(null)","(null)"
"86","DDB Worldwide","(null)","(null)"
"87","Deloitte & Touche","(null)","(null)"
"88","Delta Airlines","(null)","(null)"
"89","Denver Broncos","(null)","(null)"
"90","Denver Nuggets","(null)","(null)"
"91","Detroit Lions","(null)","(null)"
"92","Detroit Pistons","(null)","(null)"
"93","Detroit Red Wings","(null)","(null)"
"94","Detroit Shock","(null)","(null)"
"95","Detroit Tigers","(null)","(null)"
"96","DirecTV","(null)","(null)"
"98","ECHL","",""
"99","Edmonton Oilers","(null)","(null)"
"100","Ellerbe Becket","",""
"102","English Premier League","(null)","(null)"
"103","Envision","(null)","(null)"
"104","ESPN","(null)","(null)"
"105","ESPN Sports Poll","(null)","(null)"
"107","FedEx","(null)","(null)"
"108","Fila USA","(null)","(null)"
