"issueDate","homePage_topStory","homePage_headlines","homePage_quote","volume","number"
"10/1/2008 12:00:00 AM","<table class=""imageWithCaption"" align=""center"">
    <tbody>
    </tbody>
    <tbody>
        <tr>
            <td><a articleid=""124402"" href=""/article/124402""><img alt="""" border=""0"" src=""/content/Image/10-01-2008/Top-Home.jpg"" /></a></td>
        </tr>
        <tr>
            <td class=""imageCaption"">Al&nbsp;Davis Again Under Fire For Kiffin Firing</td>
        </tr>
    </tbody>
</table>
<p>Raiders Owner&nbsp;Al Davis&rsquo; 45-minute press conference Tuesday <a articleid=""124402"" href=""/article/124402"">announcing the&nbsp;dismissal of Lane Kiffin</a> turns the ongoing front-office saga into what&nbsp;SAN JOSE MERCURY NEWS columnist Ann Killion calls a &ldquo;freak show.&rdquo; Davis&rsquo; decision not to pay Kiffin for the remainder of his contract undoubtedly will lead to another protracted lawsuit for one of the league&rsquo;s most litigious owners, drawing even more attention to the team&rsquo;s struggles. Davis was his old fiery self&nbsp;during his first appearance in front of the media in some time, stating Kiffin had disgraced the organization. But many are pointing the finger at Davis for letting the situation &quot;drag out and become a spectacle.&quot; And the mess has some wondering if the Raiders can be successful with Davis running a franchise that quickly has become the &ldquo;laughingstock of the NFL.&rdquo;</p>","<p><strong>Publishing Notice</strong>&nbsp;<br />
THE DAILY will not publish Thursday or Friday. The next edition will publish Monday.</p>
<p><a href=""/article/124426"" articleid=""124426""><strong>Pigskin Politics </strong></a><br />
NFL hires Senate aide Jeff Miller to lead DC operation, serve as primary liaison to Congress.</p>
<p><strong><a href=""/article/124399"" articleid=""124399"">Cash Back Program</a></strong>&nbsp;<br />
Yankees GM reportedly shuns multiple offers, re-ups through the 2011 season.</p>
<p><a href=""/article/124407"" articleid=""124407""><strong>It's All Fun &amp; Games</strong></a><br />
Jacques Rogge downplays potential impact of financial crisis on upcoming Olympics.</p>
<p><strong><a href=""/article/124410"" articleid=""124410"">Delayed Gratification</a></strong>&nbsp;<br />
Nets offer buy-now, pay-later season tickets in order to boost attendance amid weak economy.</p>
<p><strong><a href=""/article/124427"" articleid=""124427"">Covering Their Bases</a><br />
</strong>MLB draws 78.6 million fans this season, just shy of record-setting '07 pace.</p>
<p><strong><a href=""/article/124403"" articleid=""124403"">Dropping The Puck</a></strong><br />
NHL launches $15M national ad effort under &quot;Is This The Year?&quot; slogan.</p>
<p><strong><a href=""/article/124411"" articleid=""124411"">Try These Boots On For Size</a></strong>&nbsp;<br />
Predators ownership wants to acquire Del Biaggio's 27% stake, but could face opposition from yet another advance by Jim Balsillie.</p>","<p>&ldquo;<strong>He used to be a very respected football man. Now he's just kind of a buffoon. People look at him as a caricature</strong>.&rdquo;</p>
<p>-- ESPN.com&rsquo;s <strong>Jemele Hill</strong>, on Raiders Owner<strong> Al Davis </strong>(<em><a href=""/article/124402"" articleid=""124402"">&quot;Jim Rome Is Burning,&rdquo; ESPN, 9/30</a></em>).</p>","15","14"
"10/6/2008 12:00:00 AM","<p>
<table class=""imageWithCaption"" align=""center"">
    <tbody>
        <tr>
            <td><img alt="""" src=""https://www.sportsbusinessdaily.com/content/Image/10-06-2008/top-home1.jpg"" /></td>
        </tr>
        <tr>
            <td class=""imageCaption"">Sports Not Immune To Current Financial Crisis</td>
        </tr>
    </tbody>
</table>
Wall Street is taking a dive again today, as the Dow is below 10,000 for the first time in four years, and&nbsp;more news outlets are looking at the <a href=""/article/124438"">potential impact on sports.</a> While most experts say the sports business is&nbsp;insulated for now because of long-term contracts, most warn of a ripple effect the longer this goes on. That of course could impact sponsorship spending and activation, as well as franchise values and stadium financing. Of all the properties, much of the focus is on the PGA Tour, which has a slew of corporate support from an imperiled finance industry. PGA Tour Exec VP &amp; CMO Tom Wade sounds a familiar refrain when he says, &ldquo;For the short term, we're actually in pretty good shape. In the longer term, if this persists, we just don't know.&rdquo; Meanwhile, Bruins Owner Jeremy Jacobs says&nbsp;that New York &quot;would be hit hardest by a decline in corporate sponsorship.&quot;</p>","<p><strong><a href=""/article/124464"">Driving The Lane</a><br />
</strong>AutoTrader.com acquires title sponsorship to Saturday's Nuggets-Suns outdoor game.</p>
<p><strong><a href=""/article/124443"">With This Ring ...</a></strong><br />
USOC appoints EA's Larry Probst as Chair to help develop and maintain ties with major U.S. companies, further multimedia efforts.</p>
<p><strong><a href=""/article/124441"">Around The Horn</a><br />
</strong>TBS receiving solid reviews for MLB playoff coverage, as games are down from '07.</p>
<p><strong><a href=""/article/124449"">Music City Madness</a></strong><br />
Predators default on $40M loan as team ownership struggles to overcome Del Biaggio's bankruptcy.</p>
<p><strong><a href=""/article/124439"">Shuffle Puck</a></strong>&nbsp;<br />
Melnyk says NHL expansion to Europe is imminent; league off to a smooth start abroad.</p>
<p><strong><a href=""/article/124456"">Right Or Wrong?</a> </strong><br />
VANOC criticized for banning humanitarian group because of distant conflict with sponsor.</p>
<p><strong><a href=""/article/124437"">Isolation Offense</a><br />
</strong>Pedowitz report on NBA referees confirms Stern's assertion that Donaghy acted alone.</p>
<p><strong><a href=""/article/124447"">Waving The Yellow Flag</a></strong><br />
Tax evasion charges for Castroneves, Alan Miller create uncertainty&nbsp;among drivers.</p>","<p>&quot;<strong>When your biggest attraction is beaten in 14 seconds by a last-minute replacement from the undercard, it does not help business.</strong>&quot;</p>
<p>-- CBSSPORTS.com's <strong>Denny Burkholder</strong>, noting <strong>Kimbo Slice</strong>'s quick defeat to <strong>Seth&nbsp;Petruzelli</strong> on CBS' &quot;EliteXC Saturday Night Fights&quot; &nbsp;(<a href=""/article/124452""><em>CBSSPORTS.com,</em> <em>10/5</em></a>).</p>","15","15"
"10/7/2008 12:00:00 AM","<table class=""imageWithCaption"" align=""center"">
    <tbody>
        <tr>
            <td><a href=""/article/124498""><img alt="""" border=""0"" src=""/content/Image/10-07-2008/top-home.jpg"" /></a></td>
        </tr>
        <tr>
            <td class=""imageCaption"">TBS Sees More Than&nbsp;20% Decrease In&nbsp;LDS Ratings</td>
        </tr>
    </tbody>
</table>
<p>The term &ldquo;sophomore slump&rdquo; is&nbsp;likely to be a main topic of conversation around the league&rsquo;s N.Y. offices today, as ratings for TBS&rsquo; second season of postseason baseball coverage are <a href=""/article/124498"">down more than 20% from last year</a>. Most observers felt Turner could overcome the lack of either N.Y. team advancing to October with both clubs from the second- and third-largest markets, in addition to baseball-mad Boston and Philly, making the playoffs. However, the allure of last week&rsquo;s VP debate and the lack of any series going&nbsp;five games continue to keep fans away from the telecasts. The net now must hope enthusiasm for the Red Sox&rsquo; quest for back-to-back World Series titles and the Rays&rsquo;&nbsp;most unlikely&nbsp;run continues to the ALCS. The good news: last year&rsquo;s Rockies-D&rsquo;Backs&rsquo; NLCS&nbsp;set the bar fairly low. Meanwhile, we get it, the latest season of &ldquo;Frank TV&rdquo; starts later this month.</p>","<p><strong><a href=""/article/124486"">Standing On The Shoulder Of Giants</a> </strong><br />
N.Y. sports teams and their new venues have yet to feel the wrath of the economy; Jets feature Donald Trump in <a href=""/article/124494"">ad effort for PSL auction.</a></p>
<p><strong><a href=""/article/124489"">The Importance Of Being Idle</a></strong><br />
Robert Smith downplays interest in NFLPA top job, says union needs Fortune 500 exec.</p>
<p><strong><a href=""/article/124475"">Go Let It Out</a> </strong><br />
Turner Sports launches ad campaign to raise the profile of NBA's digital assets, including NBA TV.</p>
<p><strong><a href=""/article/124488"">Definitely Maybe</a><br />
</strong>The NHL's current CBA has raised franchise values, but is it really doing any good?</p>
<p><strong><a href=""/article/124490"">All Around The World</a>&nbsp;</strong><br />
Blatter implores UEFA to implement tighter rules on prospective owners, making sure they have &quot;adequate funds&quot; and not building on debt.</p>
<p><strong><a href=""/article/124484"">The Masterplan</a></strong><br />
Tiger's AT&amp;T National looking&nbsp;for temporary shelter at Philly's Aronimink Golf Club.</p>
<p><strong><a href=""/article/124472"">Champagne Supernova</a></strong><br />
Ubisoft spending $10M to promote &quot;Shaun White Snowboarding&quot; videogame, including unique buy on &quot;South Park.&quot;</p>
<p><strong><a href=""/article/124507"">Don't Look Back In Anger</a></strong><br />
Bobcats lose another as Chief Administrative Officer Jared Bartie joins the WWE.</p>","<p><strong>&quot;You get people turning up with banker's guarantees who are not interested in football and then they lose interest in the clubs and leave.&quot;</strong></p>
<p>--&nbsp;FIFA President <strong>Sepp Blatter</strong>, on&nbsp;the need to enforce<br />
tighter licensing rules on<br />
prospective owners<br />
(<em><a href=""/article/124490"">London TELEGRAPH, 10/7</a></em>).</p>","15","16"
"10/8/2008 12:00:00 AM","<h3 style=""margin-top: 1pt; font-size: 12pt; margin-bottom: 3pt""><a href=""/article/124518"">Out Of Bounds?</a></h3>
<table class=""imageWithCaption"" align=""right"">
    <tbody>
        <tr>
            <td><a href=""/article/124518""><img alt="""" border=""0"" src=""https://www.sportsbusinessdaily.com/content/Image/10-08-2008/top.jpg"" /></a></td>
        </tr>
    </tbody>
</table>
<p>The global financial crisis has touched another segment of the sports industry, as FA Chair Lord David <a href=""/article/124518"">Triesman threatens several measures</a> to &quot;rein in the perceived excesses&quot; of the Premier League, most notably a salary cap to curtail the extravagant spending of debt-riddled clubs. In an effort to subvert &quot;very tangible dangers&quot; for the league's future, Triesman states his desire to re-establish the FA as regulator of the EPL. He also echoes FIFA President Sepp Blatter's criticism of the insufficiently stringent test to which prospective owners are subjected. But the EPL for now does not share Triesman's concerns, as CEO Richard Scudamore asserts debt &quot;to a degree is healthy.&quot; Meanwhile, EPL club West Ham United may be &quot;<a href=""/article/124526"">on the brink of a financial crisis</a>,&quot; after the nationalization of Iceland-based bank Landsbanki leaves the club's owner with an &quot;almost worthless&quot; major shareholding.</p>","<p><strong><a href=""/article/124545"">Dollars &amp; Sense</a> </strong><br />
Amid financial turmoil, Citi quietly signs deal to sponsor Presidents Cup; Mosley warns F1 future severely <a href=""/article/124521"">endangered by high costs.</a></p>
<p><strong><a href=""/article/124519"">Channel Turner</a></strong><br />
Despite large-market teams, TBS sees huge 27% drop for MLB Playoff ratings from '07.</p>
<p><strong><a href=""/article/124517"">Sterling Silver</a></strong><br />
Elgin Baylor leaving L.A. after 22 years, losing out&nbsp;in&nbsp;power struggle to Mike Dunleavy.</p>
<p><strong><a href=""/article/124530"">Hello, Newman!</a></strong><br />
Army set to sponsor Ryan Newman's new Stewart-Haas ride for 22 Cup races in '09.</p>
<p><strong><a href=""/article/124531"">Dropped&nbsp;Call</a><br />
</strong>Sprint Center-area developer Cordish Co. slams K.C. for arena's lack of major tenant, calls it &quot;gross negligence&quot; and &quot;pitiful.&quot;</p>
<p><strong><a href=""/article/124537"">Alexander The Great</a> </strong><br />
Powered by Ovechkin, Capitals head into NHL season with renewed fan base, presence in DC.</p>
<p><strong><a href=""/article/124520"">A New Ring Tone</a></strong><br />
VANOC, GM respond to criticism surrounding Right To Play's presence at 2010 Games.</p>
<p><strong><a href=""/article/124528"">Their Magic Kingdom</a></strong><br />
Magic unveil more details of new arena, including the&nbsp;&quot;Empire State Building in Orlando.&quot;</p>","<p>&quot;<strong>Our own newspapers, our own media, writes garbage. Our athletes did not want to come back.</strong>&rdquo;</p>
<p>-- Hornets Owner <strong>George Shinn</strong>, on how the local New Orleans media has portrayed the city since Hurricane Katrina hit in &rsquo;05 (<em><a href=""/article/124529"">TIMES-PICAYUNE, 10/8</a></em>).</p>","15","17"
"10/9/2008 12:00:00 AM","<table class=""imageWithCaption"" align=""center"">
    <tbody>
    </tbody>
    <tbody>
        <tr>
            <td><a target=""_blank"" href=""/article/124582""><img alt="""" border=""0"" src=""/content/Image/10-09-2008/Top-home.jpg"" /></a></td>
        </tr>
        <tr>
            <td class=""imageCaption"">NHL Prepares To Start '08-09 Season In Earnest</td>
        </tr>
    </tbody>
</table>
<p>The &rsquo;08-09 NHL season gets underway in North America tonight, and THE DAILY presents our annual season preview package. Buoyed by young stars like&nbsp;Sidney Crosby and Alex Ovechkin, the league hopes&nbsp;to capitalize on the momentum from last season&rsquo;s Stanley Cup Finals. However, amid the struggling economy the league may be challenged to match last year's success. Gary Bettman claims the league has yet <a href=""/article/124571"">to feel the effects of the economy</a>, but warns, &ldquo;We don't think any business or industry will be immune.&rdquo; Today&rsquo;s issue also includes a <a href=""/article/124581"">roundtable of NHL experts</a> discussing the state of the league, a review of <a href=""/article/124563"">new ad campaigns</a> on Versus and several RSNs, a look at each <a href=""/article/124552"">team&rsquo;s marketing slogans</a> for the season and a discussion with omnipresent <a href=""/article/124547"">analyst Mike Milbury</a>.</p>","<p><strong><a href=""/article/124558"">Bank Shot</a></strong><br />
Pistons sign second-ever presenting sponsor, securing National City to multi-year deal.</p>
<p><strong><a href=""/article/124555"">The Million Dollar Question</a></strong><br />
Could the plummeting economy, which so far has been kind to sports, force a franchise into bankruptcy in early '09?</p>
<p><strong><a href=""/article/124564"">Stand &amp; Deliver</a></strong>&nbsp;<br />
NASCAR scrapping plans for annual N.Y. victory lap in December, opting instead for a&nbsp;block party.</p>
<p><strong><a href=""/article/124566"">Closing Time</a><br />
</strong>Yankees pull the plug on a planned sendoff celebration for Yankee Stadium after reportedly struggling to land big-name musical acts.</p>
<p><strong><a href=""/article/124580"">A New Olympic Standard</a></strong><br />
BBC steps up effort for 2012 London Games after witnessing &quot;colossal&quot; Beijing Olympics.</p>
<p><strong><a href=""/article/124560"">Punching Bagged</a></strong>&nbsp;<br />
ESPN cuts struggling &quot;Wednesday Night Fights,&quot; another hit to boxing's weakened popularity.</p>
<p><strong><a href=""/article/124572"">We Got Game</a></strong><br />
Donna Orender says&nbsp;WNBA &quot;speaks to America's values,&quot; deserves more credit.</p>
<p><strong><a href=""/article/124561"">Lipstick Jungle</a> </strong><br />
America's most ubiquitous hockey mom Sarah Palin to help kick off NHL season Saturday night.</p>","<p>&quot;<strong>We aren't going to get caught off guard. You don't want to find yourself too far<br />
out over your skis</strong>.&quot;</p>
<p>-- Celtics President <strong>Rich Gotham</strong>, on the team and other franchises trying to keep pace despite the struggling economy (<em><a href=""/article/124555"">SI.com, 10/8</a></em>).</p>","15","18"
"10/10/2008 12:00:00 AM","<table class=""imageWithCaption"" align=""center"">
    <tbody>
        <tr>
            <td><a href=""/article/124601""><img alt="""" border=""0"" src=""/content/Image/10-10-2008/Top-Home.jpg"" /></a></td>
        </tr>
        <tr>
            <td class=""imageCaption"">Economy's Impact On Sports Still Being&nbsp;Felt</td>
        </tr>
    </tbody>
</table>
<p>With the global markets continuing to be in a free fall, more victims of the financial crisis are beginning to emerge in the sports industry. Tribune Co.'s methodical sale of the Cubs takes another hit, as Mark Cuban, one of the leading bidders, reveals that the <a href=""/article/124601"">failing economy has &quot;put the brakes on the sale.&quot;</a> Also, the investment firm charged with brokering a sale of Mike Ashley's Newcastle United says finding a buyer &quot;could prove impossible&quot; in the current climate. But other sports entities have had better luck in the floundering market. The Mets seem to have subverted the crisis, selling out luxury suites at Citi Field and posting &quot;extremely high&quot; renewal rates for season-ticket holders. Also, construction for the 2014 Sochi Games remains on schedule, though officials admit that the credit crunch &quot;may be felt&quot; in coming months.</p>","<p><strong><a href=""/article/124594"">For Sale Sign?</a></strong><br />
John Moores reportedly&nbsp;looking to sell at least 49% of Padres as part of divorce settlement.</p>
<p><strong><a href=""/article/124609"">Liberty &amp; Justice For All</a> </strong><br />
Dodgers-Phillies NLCS Game 1 earns 6.0 overnight on Fox, while the once-hapless Rays <a href=""/article/124595"">prepare to host&nbsp;ALCS Games 1 and 2. </a></p>
<p><strong><a href=""/article/124593"">The Real Deal</a></strong><br />
Rio Tinto Stadium sparkles in its debut, &quot;immediately&nbsp;became MLS' finest venue.&quot;</p>
<p><a href=""/article/124598""><strong>Injury Time</strong></a><br />
Rapidly approaching TV&nbsp;rights negotiations likely will postpone EPL's plan&nbsp;to add a round of int'l games until&nbsp;at least 2013.</p>
<p><strong><a href=""/article/124602"">Partisan Politics?</a>&nbsp;</strong><br />
Ed Snider slammed for inviting Sarah Palin to drop the puck at Saturday's Rangers-Flyers game.</p>
<p><strong><a href=""/article/124624"">Home &amp;&nbsp;Garden</a><br />
</strong>N.Y.'s absence from MLB playoffs benefiting MSG Net, which is seeing improved sales.</p>
<p><strong><a href=""/article/124592"">Let It Snow, Let It Snow</a></strong><br />
Coyotes introduce clever politically-inspired ad campaign to boost ticket sales.</p>
<p><strong><a href=""/article/124603"">A Clockwork Orange</a></strong>&nbsp;<br />
Ernie Davis biopic &quot;The Express&quot; opens to mixed reviews, with some questions surrounding the film's accuracy.</p>","<p>&ldquo;<strong>It makes things a lot more complicated.</strong>&rdquo;</p>
<p>Golfer <strong>Tiger Woods</strong>, on why he is not more politically outspoken (<em><a href=""http://www.sportsbusinessdaily.com/index.cfm?fuseaction=tdi.morningBuzz"">&quot;Today,&quot; NBC, 10/10</a></em>).</p>","15","19"
"10/13/2008 12:00:00 AM","<table align=""center"" class=""imageWithCaption"">
    <tbody>
        <tr>
            <td><img src=""https://www.sportsbusinessdaily.com/content/Image/10-13-2008/top-home.jpg"" alt="""" /></td>
        </tr>
        <tr>
            <td class=""imageCaption"">Heat-Nets Draws Sellout Crowd In London</td>
        </tr>
    </tbody>
</table>
<p>While most major sports leagues in recent years have begun implementing plans to expand globally, the NBA remains at the forefront of international expansion efforts. As the league continues its NBA Europe Live exhibition tour, most recently featuring Nets-Heat before a sellout crowd at London's O2 arena, David Stern expresses a desire to see <a href=""/article/124634"">regular-season games in the U.K. by 2012</a>. Stern also identifies the country as one that &quot;could eventually host a franchise,&quot; although doubts remain as to whether there is enough fan interest to sustain a team over an entire season. Meanwhile, the growth efforts extend beyond just Europe, as the NBA and AEG finally unveil details of their long-discussed, multi-billion dollar <a href=""/article/124631"">joint venture to develop and operate arenas in China</a>. Stateside, the Nuggets and Suns play an outdoor exhibition under the lights at Indian Wells. While some players bemoan&nbsp;chilly temperatures, the <a href=""/article/124632"">sellout crowd generates an &quot;undeniable buzz&quot;</a> for what could become an annual event.</p>","<p><strong><a href=""/article/124640"">Numbers Game</a> </strong><br />
Fox' NLCS ratings down from comparative coverage; NBC's &quot;Sunday Night Football&quot;&nbsp;earns 9.4/15 overnight.</p>
<p><strong><a href=""/article/124637"">Slide Away?</a><br />
</strong>NHL team owners wary of league's revenue-sharing system, rapidly rising salary cap.</p>
<p><strong><a href=""/article/124642"">Technological Advancement</a></strong><br />
HP signs sponsorship deal with NBA, its initial league partnership.</p>
<p><strong><a href=""/article/124630"">Forward Pass</a></strong><br />
FCC ruling favors NFL Net in dispute with Comcast, though case must still go before an administrative law judge.</p>
<p><strong><a href=""/article/124627"">Packing It In</a></strong><br />
Economy claims another victim, as Green Bay delays Lambeau Field Atrium expansion.</p>
<p><strong><a href=""/article/124650"">On The Green</a></strong><br />
TaylorMade-adidas Golf reaches deal to acquire Ashworth for $1.90 per share.</p>
<p><strong><a href=""/article/124636"">First Aid Station</a></strong><br />
Devine Racing partners with Competitor Group to help stabilize struggling&nbsp;Las Vegas Marathon.</p>
<p><strong><a href=""/article/124629"">Counting The Votes</a>&nbsp;<br />
</strong>While Philly fans give mixed (or worse) greeting to Sarah Palin, appearance raises more serious questions about when to mix politics with sports.</p>","<p>&quot;<strong>Good idea, wrong<br />
time of day.</strong>&quot;</p>
<p>-- Nuggets F <strong>Kenyon Martin</strong>, on Saturday&rsquo;s Nuggets-Suns outdoor game, which saw&nbsp;temperatures in the 60s and strong winds (<em><a href=""/article/124632"">DENVER POST, 10/12</a></em>).</p>","15","20"
"10/14/2008 12:00:00 AM","<table class=""imageWithCaption"" align=""center"">
    <tbody>
        <tr>
            <td><img alt="""" src=""/content/Image/10-14-2008/top-home.jpg"" /></td>
        </tr>
        <tr>
            <td class=""imageCaption"">TBS Sees Huge Ratings Gains For Rays-Red Sox</td>
        </tr>
    </tbody>
</table>
<p>With the country&nbsp;paying close attention to both the <a href=""/article/124672"">instability of the economy</a> and the nearing Presidential election, it would not surprise many if ratings for sporting events this month were lower than normal. However, just the opposite appears to be the case. TBS&rsquo; coverage of the Rays-Red Sox ALCS is <a href=""/article/124676"">earning nearly 40% higher marks</a> than last year&rsquo;s NLCS, as the net is clearly reaping the benefits of the huge&nbsp;interest in the defending World Series champs.&nbsp;Turner really would see some large numbers if the Sox can slow down the Tampa bats and keep this series competitive. And while ratings are down through the first four games of the NLCS on Fox, all the net has to do is look at its other main property to see the reverse effect. Sunday&rsquo;s&nbsp;Cowboys-Cardinals thriller gains Fox' <a href=""/article/124673"">highest&nbsp;rating of any NFL broadcast</a> this year.</p>","<p><strong><a href=""/article/124669"">Sunday Silence</a></strong><br />
John Madden, tired of logging miles,&nbsp;says decision&nbsp;to sit out this week's &quot;SNF&quot; telecast is a &quot;quality of life issue.&quot;&nbsp;</p>
<p><strong><a href=""/article/124671"">Deep Blue Something</a><br />
</strong>Dodgers hire William Morris to sell naming-rights opportunities throughout ballpark.</p>
<p><strong><a href=""/article/124675"">I Put A Spell On You</a></strong><br />
AFL's VooDoo, one of the league's best-drawing teams, shutters operations.</p>
<p><strong><a href=""/article/124672"">Full-Court Press</a></strong><br />
Despite domestic cutbacks, NBA still intends to increase its international workforce.</p>
<p><strong><a href=""/article/124680"">What Brown Can't Do For You</a></strong><br />
Big Brown's unexpected retirement forces Breeders' Cup to alter advertising efforts.</p>
<p><strong><a href=""/article/124689"">Eggs In The Basket</a> </strong><br />
Cadbury near deal to sponsor 2012 Games, a welcome respite during tough times for LOCOG.</p>
<p><strong><a href=""/article/124668"">Town-Hall Style Or With Podiums?</a> </strong><br />
Jamir Miller looks to boost campaign for NFLPA top job&nbsp;with public debates between candidates.</p>
<p><strong><a href=""/article/124674"">Catch A Rising Star</a><br />
</strong>UNC, Texas in discussions to help christen new Cowboys stadium with hoops game in '09.</p>","<p>&quot;<strong>Costas is now the ma&icirc;tre d' at the restaurant. He has no real role at the show, he just kind of introduces it.</strong>&rdquo;</p>
<p>-- ESPN&rsquo;s<strong> Bill Simmons</strong>, on NBC&rsquo;s &ldquo;Football Night In America&rdquo; having too many on-air&nbsp;personalities&nbsp;<br />
(<em><a href=""/article/124673"">&quot;The Jim Rome Show,&rdquo; 10/13</a></em>).</p>","15","21"
"10/15/2008 12:00:00 AM","<table class=""imageWithCaption"" align=""center"">
    <tbody>
        <tr>
            <td><a href=""/article/124700""><img alt="""" border=""0"" src=""/content/Image/10-15-2008/top-home.jpg"" /></a></td>
        </tr>
        <tr>
            <td class=""imageCaption"">Davidson Among Hoops Teams With 100% GSR</td>
        </tr>
    </tbody>
</table>
<p>In Myles Brand's continuing quest to emphasize the student in student-athlete, the NCAA this week gets good news as the latest Graduation Success Rate report reveals a <a href=""/article/124700"">graduation rate of 79% for student-athletes </a>who enrolled in '01, the highest rate since the NCAA began keeping GSR stats. Women's sports continue to lead the way, boasting rates consistently above 80%, while 27 Division I men's basketball programs also stand out with 100% graduation rates. But elsewhere on the hardwood, there are signs that the sport &quot;remains a problem area,&quot; as 30 of 73 men's basketball programs in the top six conferences failed to graduate more than half of their players. Men's basketball as a whole possesses a 62% graduation rate, ranking below all other sports, including 68% for baseball and 67% for Bowl Subdivision football programs.</p>","<p><strong><a href=""/article/124717"">Fox Hole Mentality</a><br />
</strong>With the Phillies and Rays both one game away from World Series, possible matchup may have the net sweating.</p>
<p><a href=""/article/124719""><strong>Backwards Lateral </strong></a><br />
Goodell says NFL&nbsp;has done &quot;some significant belt tightening&quot; to stay afloat in economic downturn.</p>
<p><strong><a href=""/article/124702"">London Bridge Is Falling Down</a></strong><br />
The credit crunch strikes England, as the 2012 Olympic Village needs financial support.</p>
<p><strong><a href=""/article/124714"">The Right Formula?</a></strong><br />
FIA outlines plan to curtail rising costs, including introduction of standard engines.</p>
<p><strong><a href=""/article/124708"">It's In The Games</a></strong><br />
Barack Obama hopes to reach young voters by placing ads in various EA videogames.</p>
<p><strong><a href=""/article/124696"">On&nbsp;The Oregon Trail</a> </strong><br />
Plenty of cities submitting bids for MLS expansion team, but is&nbsp;league already leaning toward awarding Portland a team?</p>
<p><strong><a href=""/article/124712"">Here Comes The Boom</a></strong><br />
CBS' Esiason slams Fox' Troy Aikman for an apparent bias during Cowboys broadcast.</p>
<p><strong><a href=""/article/124704"">Throwback Uniform</a></strong><br />
Blue Jays hand interim CEO duties to former team President and MLB exec Paul Beeston.</p>","<p>&quot;<strong>I'm looking forward to getting a jersey, as opposed to an octopus.</strong>&quot;</p>
<p>-- <strong>President Bush</strong>, on hosting the Red Wings yesterday to congratulate them on their &rsquo;07-08 Stanley Cup championship (<em><a href=""/article/124724"">DETROIT FREE PRESS, 10/15</a></em>).</p>","15","22"
"10/16/2008 12:00:00 AM","<h3 style=""margin-top: 1pt""><a href=""https://www.sportsbusinessdaily.com/article/124750"">The Magnificent Seven</a></h3>
<table class=""imageWithCaption"" align=""right"">
    <tbody>
        <tr>
            <td><a href=""/article/124750""><img alt="""" border=""0"" src=""https://www.sportsbusinessdaily.com/content/Image/10-16-2008/MLS-logo.jpg"" /></a></td>
        </tr>
        <tr>
            <td class=""imageCaption"">&nbsp;</td>
        </tr>
    </tbody>
</table>
<p>Some of the most powerful, wealthy players in the sports industry continue to be interested in MLS, as evidenced by the names that formally bid for one of the league&rsquo;s two expansion teams yesterday. Arthur Blank, Eugene Melnyk, George Gillett and FC Barcelona are among the <a href=""https://www.sportsbusinessdaily.com/article/124750"">seven entities that are trying to secure a club</a> that would begin play in 2011. None of the bids currently have all of the components MLS is looking for, but <a href=""https://www.sportsbusinessdaily.com/article/124766"">all have unique qualities</a> that should make for a close race over the next several months. The most notable group not to bid: the Mets, who pulled their bid due to a lack of a &ldquo;world class facility.&rdquo; There is some news coming from teams that are already on the pitch&nbsp;-- the Revolution are again making noise about <a href=""https://www.sportsbusinessdaily.com/article/124748"">building a soccer-specific stadium closer to Boston</a> than their current home in Foxborough. The more intimate venue would cut down on fans feeling &ldquo;swallowed up&rdquo; by Gillette Stadium.</p>","<p><strong><a href=""/article/124749"">Long Island&nbsp;Rail Road</a></strong>&nbsp; <br />
Presidential debate severely hurts Fox' overnight&nbsp;rating for Phillies&rsquo; NLCS-clinching victory;&nbsp;MLB OKs net's request to <a href=""/article/124751"">delay start of World Series game</a>&nbsp;to run&nbsp;Obama ad.&nbsp;</p>
<p><strong><a href=""/article/124747"">The More, The&nbsp;Merrier?</a></strong>&nbsp;<br />
NFL Owners Meetings end amid talk of college-style spring games,&nbsp;extending regular season.</p>
<p><strong><a href=""/article/124744"">Sign Of The Apocalypse</a></strong><br />
Are Boston fans now &ldquo;nonchalant&rdquo; about playoff baseball? Red Sox tickets much easier to come by than in previous years.</p>
<p><strong><a href=""/article/124745"">Horse Power</a><br />
</strong>NTRA unveils safety and integrity reform plan supported by all major U.S. racetracks.</p>
<p><strong><a href=""/article/124742"">Au Revoir</a></strong><br />
French Grand Prix off F1 schedule for first time in 50+ years, as economic woes persist.</p>
<p><strong><a href=""/article/124736"">Mutual&nbsp;Fund</a><br />
</strong>Andre Agassi, Perry Rogers end longtime business relationship in favor&nbsp;of friendship.</p>
<p><strong><a href=""/article/124756"">About Face</a></strong><br />
Top college recruits dealing with legalities of social networking friend requests from overzealous fans.</p>
<p><strong><a href=""/article/124746"">How The Mountain West Was Won</a><br />
</strong>The mtn. not planning to simulcast&nbsp;BYU-Utah clash that may determine BCS berth.</p>","<p>&quot;<strong>I didn't really think&nbsp;<br />
much about it, to be<br />
honest with you.</strong>&quot;</p>
<p>-- NHL Panthers D <strong>Noah Welch</strong>, who is the only active athlete among 19 who have agreed to donate their brain to Boston Univ.'s Sports Legacy Institute (<em><a href=""https://www.sportsbusinessdaily.com/article/124762"">PALM BEACH POST, 10/16</a></em>).</p>","15","23"
