"articleID","sportID"
"124394","6"
"124426","6"
"124427","2"
"124428","4"
"124434","6"
"124436","9"
"124437","3"
"124439","1"
"124440","3"
"124441","2"
"124442","3"
"124443","4"
"124444","8"
"124445","1"
"124446","1"
"124447","5"
"124448","6"
"124449","1"
"124450","8"
"124451","8"
"124452","24"
"124456","4"
"124459","5"
"124464","3"
"124467","3"
"124468","1"
"124469","4"
"124472","10"
"124474","3"
"124475","3"
"124477","3"
"124483","6"
"124484","7"
"124485","2"
"124487","3"
"124488","1"
"124489","6"
"124490","8"
"124492","5"
"124493","1"
"124494","6"
"124498","2"
"124503","24"
"124507","3"
"124510","6"
"124512","6"
"124513","21"
"124516","1"
"124517","3"
"124518","8"
"124519","2"
"124519","6"
"124520","4"
"124521","5"
"124523","2"
"124524","7"
"124525","3"
"124526","8"
"124528","3"
"124529","3"
"124530","5"
"124532","1"
"124533","2"
"124534","2"
"124537","1"
"124542","6"
"124545","7"
"124511","1"
"124550","6"
"124551","1"
"124556","3"
"124557","6"
"124558","3"
"124559","1"
"124560","13"
"124561","1"
"124562","16"
"124563","1"
"124564","5"
"124565","6"
"124566","2"
"124571","1"
"124574","8"
"124576","6"
"124578","24"
"124580","4"
"124581","1"
"124583","1"
"124589","8"
"124591","4"
"124592","1"
"124593","8"
"124594","2"
"124595","2"
"124596","1"
"124597","5"
"124598","8"
"124602","1"
"124603","6"
"124605","2"
"124609","2"
"124612","3"
"124616","3"
"124624","1"
"124626","1"
"124628","3"
"124629","1"
"124630","6"
"124631","3"
"124632","3"
"124633","8"
"124634","3"
"124635","12"
"124637","1"
"124638","3"
"124640","2"
"124641","3"
"124642","3"
"124645","1"
"124647","4"
"124650","7"
"124653","1"
"124655","2"
"124658","4"
"124660","2"
"124665","7"
"124667","6"
"124668","6"
"124669","6"
"124670","12"
"124671","2"
"124673","6"
"124674","12"
"124675","6"
"124676","2"
"124678","6"
"124679","7"
"124680","16"
"124682","9"
"124683","1"
"124683","3"
"124686","8"
"124688","2"
"124689","4"
"124696","8"
"124700","12"
"124704","2"
"124705","1"
"124706","1"
"124706","3"
"124707","16"
"124709","1"
"124712","6"
"124713","6"
"124714","5"
"124715","5"
"124716","2"
"124717","2"
"124719","6"
"124720","3"
"124722","5"
"124726","5"
"124728","2"
"124732","6"
"124482","3"
"124735","2"
"124743","2"
"124744","2"
"124745","16"
"124746","6"
"124746","12"
"124747","6"
"124748","8"
"124749","2"
"124750","8"
"124751","2"
