"pageId","title","grouping","summary","body","insertTime","modifyTime"
"14","test","about us","sdfgh","sdfgh","3/19/2001 1:27:59 PM","7/19/2001 3:00:07 PM"
"16","Company History-SBD","About Us","","<table width=""97%""  border=""0"" align=""center"" cellpadding=""0"" cellspacing=""0"">
    <tr>
      <td><i><br>
      SportsBusiness Daily</i> is the leading daily trade publication on the business of sports. Since 1994, <i>SportsBusiness Daily</i> has been a vital information service, providing decision-makers in the sports industry with comprehensive, real-time business news each business morning. <br>
    <br>
Monday through Friday, <i>SportsBusiness Daily</i> summarizes industry news reported by over 500 media outlets in the United States, Canada, Europe, Africa, Asia, Australia and South America – as well as relevant original features by our experienced editorial staff. Our clients receive essential information while it is still timely, helping them make more informed business decisions. <br>
  <br>
In addition to being real-time, <i>SportsBusiness Daily</i> is comprehensive. We help our clients focus on the latest news by taking a global perspective and prioritizing such important sports business issues as:<br>
  <br>
  <br>
  <table border=""0"" width=""515"" align=center>
    <tr>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""240""><b><font face=""Verdana, Arial, Helvetica, sans-serif"" size=""2"">Sponsorships & Endorsements</font></b></td>
      <td width=""10""><font color=""#75030d"" size=""5"">•</font></td>
      <td width=""237""><font face=""Verdana, Arial, Helvetica, sans-serif"" size=""2""><b>Marketing & Advertising</b></font></td>
    </tr>
    <tr>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""240""><b><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">Sports Media</font></b></td>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""237""><b><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">Collegiate Sports</font></b></td>
    </tr>
    <tr>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""240""><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif""><b>Labor & Management Relations</b></font></td>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""237""><b><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">League & Governing Bodies</font></b></td>
    </tr>
    <tr>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""240""><b><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">Licensing & Merchandising</font></b></td>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""237""><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif""><b>Olympics </b> </font></td>
    </tr>
    <tr>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""240""><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif""><b>Sports on the Web</b></font></td>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""237""><b><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">Executive Transactions</font></b></td>
    </tr>
    <tr>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""240""><b><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">Facilities & Venues</font></b></td>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""237""><font face=""Verdana, Arial, Helvetica, sans-serif"" size=""2""><b>Events & Attractions </b></font></td>
    </tr>
    <tr>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""240""><b><font size=""2"" face=""Verdana, Arial, Helvetica, sans-serif"">Sports Finance</font></b></td>
      <td width=""10""><font size=""5"" color=""#75030d"">•</font></td>
      <td width=""237""><font face=""Verdana, Arial, Helvetica, sans-serif"" size=""2""><b>Sports Business Research</b></font></td>
    </tr>
  </table>
  <br>
In prioritizing the day's most important news, <i>SportsBusiness Daily</i> offers readers both the substance and ""the spin"" of how the news ""is playing."" In addition, <i>SportsBusiness Daily</i> provides timely original features that go beyond the headlines and analyze the latest trends impacting the billion-dollar sports enterprise. Original features from <i>SportsBusiness Daily</i> have been cited by such media outlets as the N.Y. Times, Washington Post, USA Today, N.Y. Daily News, Atlanta Constitution, Houston Chronicle, L.A. Times, Chicago Tribune, Sports Illustrated, ESPN, Fox Sports Net, and other major media entities. <br>
  <br>
  <i> SportsBusiness Daily</i> is <i>the</i> source for busy executives in keeping up with the industry personalities and newsmakers shaping today's global sports business. It is a ""must read"" for the top decision-makers, keeping them ahead of the game. This is evident by our extraordinary subscription renewal rate of more than 80% over the past six years. See what some of today's <a href=""http://www.sportsbusinessdaily.com/index.cfm?fuseaction=page.feature&featureId=8"">top sports executives are saying </a>about <i>SportsBusiness Daily.</i> <br>
  <br>
Register now for a <a href=""http://www.sportsbusinessdaily.com/register.cms?type=trial"">free trial</a> to <i>SportsBusiness Daily.</i> <br>
  <br>
  <div align=""left""><p.padding3> <i>SportsBusiness Daily </i>is a publication of Street & Smith's Sports Group. <br>
    <br>
  </div></td>
    </tr>
  </table>","3/23/2001 2:02:06 PM","7/6/2001 9:31:09 AM"
"17","SBO History","About Us","","<h3 align=""center""><font face=""Georgia, Times New Roman, Times, serif"" color=""#75030d"">SPORTSBIZONLINE.COM</font></h3>
  <p> <i>SportsBizOnline.com</i> is 
    presented by Street & Smith's Sports Group and is a joint production of <i>Street 
    & Smith's SportsBusiness Journal</i> and <i>The 
    Sports Business Daily</i>, the 
    two leading trade publications on the business of sports. Drawing on the expertise of these respected publications, SportsBizOnline.com 
    provides real-time industry news on the business of sports, and serves as 
    a vital research source for the industry professionals and sports enthusiasts.</p>","3/26/2001 7:31:20 AM","4/27/2001 7:29:07 AM"
"18","Partial Advertisers List","Advertise With Us","","<p>The following is a partial listing of companies that have placed classified 
  ads in <i><b><font color=""#7B1733"">SportsBusiness Daily</font></b></i>:</p>
<table width=""550"" border=""0"" align=""center"" cellpadding=""3"" cellspacing=""0"">
  <tr>
    <td>American Cancer Society</td>
    <td>National Lacrosse League</td>
  </tr>
  <tr>
    <td>Angels Baseball</td>
    <td>New England Sports Network</td>
  </tr>
  <tr>
    <td>Arena Football League</td>
    <td>New Orleans Saints</td>
  </tr>
  <tr>
    <td>ATP</td>
    <td>New York Jets</td>
  </tr>
  <tr>
    <td>Augusta National Golf Club</td>
    <td>New York Yankees</td>
  </tr>
  <tr>
    <td>California Speedway</td>
    <td>NFL Players, Inc.</td>
  </tr>
  <tr>
    <td>Carolina Panthers</td>
    <td>Octagon</td>
  </tr>
  <tr>
    <td>Comcast SportsNet</td>
    <td>OnSport</td>
  </tr>
  <tr>
    <td>Dallas Mavericks</td>
    <td>Outdoor Life Network</td>
  </tr>
  <tr>
    <td>Delaware North Companies</td>
    <td>PGA Tour</td>
  </tr>
  <tr>
    <td>Edelman Public Relations</td>
    <td>Philips Arena</td>
  </tr>
  <tr>
    <td>ESPN</td>
    <td>Professional Bull Riders, Inc.</td>
  </tr>
  <tr>
    <td>Florida Marlins</td>
    <td>Relay Sports & Event Marketing</td>
  </tr>
  <tr>
    <td>GMR Marketing LLC</td>
    <td>San Jose Earthquakes</td>
  </tr>
  <tr>
    <td>Host Communications</td>
    <td>Sony Computer Entertainment America</td>
  </tr>
  <tr>
    <td>Houston Astros Baseball Club</td>
    <td>Sports Illustrated</td>
  </tr>
  <tr>
    <td>IMG</td>
    <td>SportsLine.com</td>
  </tr>
  <tr>
    <td>International Speedway Corporation </td>
    <td>SportsMark</td>
  </tr>
  <tr>
    <td>Intersport</td>
    <td>Strategic Sports Group</td>
  </tr>
  <tr>
    <td>Just Marketing International</td>
    <td>Tampa Bay Buccaneers </td>
  </tr>
  <tr>
    <td>Ketchum PR</td>
    <td>Tampa Bay Devil Rays</td>
  </tr>
  <tr>
    <td>LPGA</td>
    <td>Taylor PR</td>
  </tr>
  <tr>
    <td>Madison Square Garden</td>
    <td>The Bonham Group</td>
  </tr>
  <tr>
    <td>Major League Baseball</td>
    <td>Tiger Woods Foundation</td>
  </tr>
  <tr>
    <td>Major League Soccer</td>
    <td>Turner Entertainment</td>
  </tr>
  <tr>
    <td>Mandalay Sports Entertainm</td>
    <td>U.S. Soccer Foundation</td>
  </tr>
  <tr>
    <td>Marquette University</td>
    <td>United States Olympic Committee</td>
  </tr>
  <tr>
    <td>Miami Heat</td>
    <td>United States Tennis Association</td>
  </tr>
  <tr>
    <td>Milwaukee Brewers</td>
    <td>USA Football</td>
  </tr>
  <tr>
    <td>Milwaukee Bucks</td>
    <td>USA Hockey</td>
  </tr>
  <tr>
    <td>Minor League Baseball</td>
    <td>Velocity Sports & Entertainment</td>
  </tr>
  <tr>
    <td>NASCAR</td>
    <td>Visa USA</td>
  </tr>
  <tr>
    <td>NASCAR Hall of Fame</td>
    <td>Walt Disney Sports</td>
  </tr>
  <tr>
    <td>National Football League</td>
    <td>WTA Tour</td>
  </tr>
  <tr>
    <td>National Hockey League</td>
    <td>XM Satellite Radio</td>
  </tr>
</table>
<p> </p>","3/26/2001 7:48:30 AM","6/21/2001 8:33:07 AM"
"19","Marketing Contacts","Advertise With Us","","<p>
  <center>
    For more information, please contact: <br>
    <br>
    <u><b>Classified Advertising</b></u><br>
    <a href=""mailto:heatherc@sportsbusinessdaily.com?subject=Classified Advertising"">Heather Crawley</a><br>
    704-973-1500
  </center>
</p>
<center>
  <p><u><b>Online Advertising</b></u><br>
    <a href=""mailto:ttennyson@amcity.com?subject=Online Advertising on SportsBusinessDaily.com"">Todd Tennyson</a><br>
    704-973-1532</p>
</center>","3/26/2001 7:53:49 AM","8/7/2001 3:32:43 PM"
"20","Editorial Mission","About Us","","<br>
<br>
<p align=""left""> <i>SportsBusiness Daily</i> provides today's top decision-makers 
  in sports real-time industry news, allowing them to make more informed business 
  decisions. Since 1994, <i>SportsBusiness Daily </i> has been recognized 
  as the sports industry's leading daily trade publication, providing a comprehensive 
  and smart business tool that keeps readers ahead of the news. </p>
<p align=""left""> <i>SportsBusiness Daily</i> is relevant, contemporary and edgy. 
  Each day, in an effort to cut through the clutter and save our clients precious 
  time, <i>SportsBusiness Daily</i> monitors hundreds of respected media sources 
  – daily metropolitan newspapers; weekly business journals; the top sports, business 
  and news periodicals; sports, news and business television and radio shows; 
  and some of the industry's leading Internet publications. We provide our high-end 
  readers – consisting of team owners, top TV network, league and marketing executives, 
  attorneys, corporate sponsors and other Fortune 500 companies – with the essential 
  information they need to perform their job effectively. We provide not only 
  the substance of today's news, but also the ""spin,"" while our original features 
  from our experienced staff provide in-depth analysis of the industry's latest 
  trends. </p>
<p align=""left""> If you have any questions or would like to receive a <a href=""http://www.sportsbusinessdaily.com/index.cfm?fuseaction=page.feature&featureId=10"">free 
  trial </a> subscription to <i>SportsBusiness Daily</i>, please register 
  now or call (704)-973-1500.</p>
<p align=""left""> In addition, if you would like to alert us to a news story in 
  your market, please e-mail our editorial department at <a href=""mailto:news@sportsbusinessdaily.com"">news@sportsbusinessdaily.com</a>. 
</p>","3/26/2001 8:07:25 AM","6/4/2001 3:05:54 PM"
"21","Policy and Specifications","Advertise With Us","","<p>If you have a product to sell, a conference or meeting to promote or a job 
  to fill, and you want to reach the top decision-makers in sports, you should 
  place a classified ad in <i>The Sports Business Daily.</i></p>
<p><u> Size of Advertisements </u><br>
  There are three sizes of classified advertisements in <i>The Sports Business 
  Daily. </i></p>
<p>80 Words or less<br>
  160 Words or less <br>
  400 Words or less </p>
<p>All advertisements are based on the number of words. </p>
<p><u>What You Need to Do</u><br>
  All advertising copy should be submitted to us by the advertiser. We will edit 
  the copy to fit with the style of our publication and to fit the size of the 
  advertisement purchased. If you would like us to write the copy, we will for 
  an additional fee. We have final approval and editing authority over all copy 
  submitted to or written by us, but advertisers will be consulted in the event 
  of significant and substantive editing. <br>
  <br>
  <b>If you would like to place an order or discuss terms or procedures, please e-mail Heather Crawley at </b><a href=""mailto:heatherc@sportsbusinessdaily.com?subject=Advertising Terms and Procedures"">heatherc@sportsbusinessdaily.com</a><b> 
  or call 704-973-1500.</b></p>","3/26/2001 8:22:07 AM","6/22/2001 12:38:17 PM"
"22","The Daily Insider","About Us","","<BR><BR> <h3 align=""center""><i>THE SPORTS BUSINESS DAILY</i><br>
<U>THE DAILY INSIDER</u></h3>

	
<p><b><i>The Daily Insider</i></b>, a product of the editorial staff at <i>The 
  Sports Business Daily</i>, is an exclusive online resource of the latest sports 
  industry news, trends and research presented in a fast, fun and candid format. 
  By subscribing to <i><a href=""index.cfm?fuseaction=register.trial"">The 
  Sports Business Daily</a></i>, readers receive unlimited access to <i><b>The 
  Daily Insider</b></i>, which consists of exclusive news and research data essential 
  for today's top sports business executive. </p>
<p>The Daily Insider offers updated information on:</p>
<ul>
  <li>The latest news, facts and figures on the sports industry.</li>
  <li>Complete Nielsen television ratings from recent sports events. </li>
  <li>Expanded coverage of international sports industry issues. </li>
  <li>Comprehensive analysis of nightly sports TV news shows. </li>
  <li>Complete link service to relevant articles on the sports industry. </li>
  <li>Expanded coverage of the latest sports sites on the Internet, women's sports 
    issues <br>
    and extreme and alternative sports. </li></ul>
    <p>Comprehensive research listings of: </p>

<ul>
  <li>League corporate partners </li>
  <li>Facility naming rights agreements 
  <li>Broadcast and cable television rights deals </li>
  <li>League-by-league and team-by-team attendance</li>
  <li>Top corporate sponsors in sports</li>
  <li>Latest rankings of sports-related Web sites</li>
  <li>The latest data on today's player salaries</li>
  <li>and much, much more. </li>
</ul>
<p><b><i>The Daily Insider</i></b> is your full-service information source to 
  the industry. It's smart, comprehensive and essential. To receive your unlimited 
  pass to <i><b>The Daily Insider</b></i>, sign up for a<a href=""http://www.sportsbusinessdaily.com/register.cms?type=trial""> 
  free trial</a> now or call (704) 973-1500. </p>
","3/26/2001 8:28:18 AM","3/11/2002 3:15:32 PM"
"23","Advertising Terms Sheet","Advertise With Us","","<center>
  <h3><u><b>Classified Advertisements</b></u></h3>
  <u> </u>
</center>
<p> <u>General Policy<br>
  </u> A. Submission of an order is deemed an acceptance of all applicable rates 
  and regulations set forth by <i>SportsBusiness Daily</i>, which reserves 
  the right to revise rates at any time.<br>
  <br>
  B. All orders and copy are subject to the approval of<i> SportsBusiness Daily</i>, which reserves the right to classify, edit, omit or reject advertising.<br>
  <br>
  C. This publication will not knowingly accept advertisements of a fraudulent, 
  misleading, controversial or discriminatory nature.<br>
  <br>
  D. Specifications on orders regarding position and competitive advertising are 
  treated as requests only. <i>SportsBusiness Daily</i> reserves the right 
  to determine the position of all advertisements. <br>
  <br>
  E. New accounts are to be prepaid until a credit line has been established. 
  All advertising bills are due and payable in full during the month following 
  the date of publication. Accounts 45 days in arrears will be refused further 
  advertising until bills have been paid. <br>
  <br>
  F. Upon request, we will submit bills to a designated recipient but payment 
  for all advertising placed by a third party, i.e. advertising representative 
  or agency, will ultimately be the responsibility of the company, business, service 
  or group for which the individual advertisement is being placed.<br>
  <br>
  G. No advertiser may include in their advertisement any direct reference to 
  any other company or advertiser without the expressed written consent of that 
  company or advertiser.<br>
  <u> <br>
  Processing<br>
  </u> A. Written confirmations of orders, cancellations or changes given over 
  the telephone must be received prior to publication deadlines. <u> <br>
  Adjustments<br>
  </u> A. The publication will make no allowances for errors that do not materially 
  affect the value of the advertisement. Claims must be made in 30 days.<br>
  <br>
  B. The publication will not be liable for failure to publish any advertisements 
  for any reason; nor for claims of libel, unfair trade practices, infringement 
  of trademarks, patents and copyrights or violations of an advertisement or its 
  content.<br>
  <u> <br>
  Closing Times<br>
  </u> A. All orders for advertisements must be made by 3:00 pm ET two publishing 
  days prior to publication.<br>
  <u> <br>
  Terms and Conditions<br>
  </u> A. A signed contract or insertion order for each advertisement must be 
  completed and returned prior to the advertising copy deadline.<br>
  <br>
  B. The advertiser will be charged for the actual number of ads published at 
  the rates shown on the rate card. Advertiser may alter or reduce the indicated 
  insertion schedule with advance notice, at least 24 hours prior to the insertion 
  date. If the number of advertisements is reduced below a frequency discount 
  shown, the advertiser must pay retroactively, the higher rate per advertisement 
  within 30 days of such reduction.<br>
  <br>
  C. Payments for advertisements are due prior to publication for new advertisers 
  and within 30 days for credit worthy advertisers. Discounts are not recognized 
  for advertising agencies. <br>
  <br>
  D. No copy changes will be accepted after the advertising copy deadline. Advertiser 
  is responsible for full payment of space after advertising copy deadline regardless 
  of copy status.<br>
  <i></i> <br>
  <u><i>SportsBusiness Daily </i></u><u>Copy Protective Clause</u><br>
  Advertisers and advertising agencies assume all liability for content (including 
  text, representation and illustrations) of advertisements printed, and also 
  assume responsibility for any claims arising therefrom made against <i>SportsBusiness Daily</i>.<i> SportsBusiness Daily</i> reserves the right to reject 
  any advertising. <br>","3/26/2001 8:39:19 AM","5/10/2001 2:16:26 PM"
"24","Abe Madkour Bio","About Us","","<br>
 
<h3 align=""center"">Abraham D. Madkour<br>
    <font color=""#75030d"">Executive Editor</font> </h3>
<p>Abraham Madkour is Executive Editor of Street & Smith’s <i>SportsBusiness
Journal</i> and <i>The Sports Business Daily</i>.</p>
<p>Mr. Madkour is responsible for determining the editorial
content and shaping the editorial direction of the two leading publications on
the business of sports, while managing the entire editorial staff. </p>
<p>Mr. Madkour is an expert on the business of sports and news
media analysis, and has served as an industry analyst and commentator for a
number of print and electronic media. </p>
<p>Mr. Madkour joined <i>The Sports Business Daily</i> as a
Senior Staff Writer when the publication launched in August 1994. In April
1995, he was promoted to Assistant Editor, and he was named Editor-in-Chief in
September 1996.   After the publication
was acquired by Street & Smith’s Sports Group in 1998, Mr. Madkour led the
relocation of <i>The Sports Business Daily </i>to Charlotte, NC, and oversaw
the publication’s move from an e-mail text newsletter to a comprehensive online
news service.  Mr. Madkour added the
duties of Executive Editor of <i>SportsBusiness Journal</i> in 2003. </p>
<p>Prior to joining <i>The Sports Business Daily</i>, Mr. Madkour
was a Legislative Assistant for U.S. Senator Patrick Leahy of Vermont. He
worked for Vermont's Senior Senator beginning in 1990 and helped direct his
re-election campaign in 1992. In addition to working with Senator Leahy, Mr.
Madkour also had stints working for the Washington Bullets and the Baltimore
Orioles in 1993 and 1994.</p>
<p>Mr. Madkour, 34, has a B.A. in Political Science from the
University of Vermont.<br>
   </p>
<table width=""255"" border=""1"" cellspacing=""0"" cellpadding=""0"" align=""center"">
        
  <tr bgcolor=""e6e6e6""> 
          
    <td> 
            
      <div align=""center""><a href=""/index.cfm?fuseaction=page.feature&featureId=1"">Click Here To 
              Return To About Us </a></div>
    </td>
  </tr>
      
</table>
","3/26/2001 8:39:53 AM","3/24/2003 12:09:43 PM"
